,PIR_364mg.kg_5d_NN_OG_Rep1,PIR_364mg.kg_5d_NN_OG_Rep2,PIR_364mg.kg_5d_NN_OG_Rep3,Control_0_5d_NN_OG_Rep1,Control_0_5d_NN_OG_Rep6,Control_0_5d_NN_OG_Rep3
ENSRNOG00000000001,0,0,0,1,2,0
ENSRNOG00000000007,3,2,0,3,12,7
ENSRNOG00000000008,0,0,0,0,0,0
ENSRNOG00000000009,0,0,0,0,0,0
ENSRNOG00000000010,0,1,0,0,0,0
ENSRNOG00000000012,0,0,0,0,0,0
ENSRNOG00000000017,4,4,2,17,3,7
ENSRNOG00000000021,48,63.42,50,211.91,168.9,138
ENSRNOG00000000024,617,742,533,1650,2316,1833
ENSRNOG00000000033,28,128,126,977,961,117
ENSRNOG00000000034,208,206,176,534,484,371
ENSRNOG00000000035,1,0,0,0,0,0
ENSRNOG00000000036,58,73,50,192,279,159
ENSRNOG00000000040,9,10,11,46,30,15
ENSRNOG00000000041,1146.98,1644.54,943.61,9868.19,11426.56,8588.89
ENSRNOG00000000042,129,152,130,567,522,389
ENSRNOG00000000043,530.02,457.46,427.39,924.81,586.44,479.11
ENSRNOG00000000044,101,78,89,283,241,168
ENSRNOG00000000047,514,546,461,2044,2161,1754
ENSRNOG00000000048,839,864,786,3145,3024,2230
ENSRNOG00000000053,40373,50073,36818,239493,212787,146674
ENSRNOG00000000054,30,20,9,122,201,134
ENSRNOG00000000055,0,0,1,0,1,0
ENSRNOG00000000060,1,3,0,1,6,4
ENSRNOG00000000062,65,73,41,189,165,107
ENSRNOG00000000064,782,887,679,1875,1953,1395
ENSRNOG00000000065,0,0,0,1,0,2
ENSRNOG00000000066,149,147,134,435,383,287
ENSRNOG00000000068,1444,1547,1352,5683,5613,4922
ENSRNOG00000000070,171.37,158.34,105.25,634.44,566.14,381.35
ENSRNOG00000000073,362,353,282,1020,870,640
ENSRNOG00000000075,77,67,62,219,184,141
ENSRNOG00000000081,158,155,154,694,709,473
ENSRNOG00000000082,241,208,147,739,494,398
ENSRNOG00000000091,2.79,4,5.89,47.51,20.59,32
ENSRNOG00000000095,465,473,403,1948,1630,1285
ENSRNOG00000000096,298,162,289,1628,1312,1043
ENSRNOG00000000097,0,1,1,0,1,0
ENSRNOG00000000098,340,331,292,1285,966,886
ENSRNOG00000000104,227,202,172,722,567,492
ENSRNOG00000000105,40,25,30,84,63,39
ENSRNOG00000000108,412,280,330,910,739,629
ENSRNOG00000000109,0,0,0,0,0,0
ENSRNOG00000000111,16,25,20,97,69,40
ENSRNOG00000000112,215,254,174,834,758,434
ENSRNOG00000000113,48,66,48,190,137,102
ENSRNOG00000000121,66,62,65,292,221,119
ENSRNOG00000000122,1393.76,1388.7,1260.58,6544.94,5335.85,4257.32
ENSRNOG00000000123,93,76,62,568,299,200
ENSRNOG00000000124,0,0,0,0,0,0
ENSRNOG00000000127,699,700,641,2240,1967,1481
ENSRNOG00000000129,0,0,0,0,0,0
ENSRNOG00000000130,67,79,51,648,613,371
ENSRNOG00000000133,525,523,405,1727,1597,1220
ENSRNOG00000000137,25,14,24,456,176,118
ENSRNOG00000000138,0,0,0,1,2,2
ENSRNOG00000000142,8,11,12,111,36,36
ENSRNOG00000000145,13,13,17,87,59,29
ENSRNOG00000000150,307,348,317,1021,999,718
ENSRNOG00000000151,62,65,53,203,210,145
ENSRNOG00000000155,171,159,135,620,466,413
ENSRNOG00000000156,23,14,34,74,76,45
ENSRNOG00000000157,522,511,458,1325,1239,899
ENSRNOG00000000158,5847,7261,5247,36635,28956,23626
ENSRNOG00000000161,142,146,155,455,334,302
ENSRNOG00000000164,3650,3661,3215,11593,9890,7760
ENSRNOG00000000165,1565,1426,1415,1783,2655,1331
ENSRNOG00000000166,68,73,67,191,169,147
ENSRNOG00000000167,52,54,80,519,492,298
ENSRNOG00000000168,206,286,147,607,624,775
ENSRNOG00000000169,48,59,66,140,118,91
ENSRNOG00000000170,592,571,482,1639,1475,1112
ENSRNOG00000000172,404,514,325,2825,532,730
ENSRNOG00000000175,76,72,85,323,294,157
ENSRNOG00000000177,125,133,148,643,335,205
ENSRNOG00000000184,2985,3412,2681,14215,14482,11358
ENSRNOG00000000185,711,744,525,3019,3634,2270
ENSRNOG00000000186,2615,2761,2168,10856,11119,8669
ENSRNOG00000000187,45,35,66,444,264,167
ENSRNOG00000000190,75,88,88,370,306,216
ENSRNOG00000000195,36.24,45.2,55.62,240.89,88.12,194.79
ENSRNOG00000000196,0,0,0,2,0,1
ENSRNOG00000000199,0,0,0,0,0,0
ENSRNOG00000000201,6175.22,6228.58,4727.54,18684.75,18979.14,17524.27
ENSRNOG00000000204,396,456,466,1340.99,1232,948
ENSRNOG00000000219,549,550,451,1458,1232,951
ENSRNOG00000000221,1545,2194,1508,2857,3609,2212
ENSRNOG00000000230,225,219,157,946,935,577
ENSRNOG00000000231,10,6,8,49,40,22
ENSRNOG00000000233,0,0,0,0,0,0
ENSRNOG00000000236,603,598,477,2081,1866,1581
ENSRNOG00000000237,40,31,41,123,117,75
ENSRNOG00000000239,2,1,0,5,29,1
ENSRNOG00000000244,34,43,36,154,132,94
ENSRNOG00000000245,169,116,152,162,133,97
ENSRNOG00000000246,275,298,245,899,821,620
ENSRNOG00000000247,139,121,126,542,494,331
ENSRNOG00000000248,1322,1607,1229,4059,3903,2982
ENSRNOG00000000249,83,88,74,194,249,168
ENSRNOG00000000250,96,104,97,287,324,174
ENSRNOG00000000251,0,0,0,0,0,0
ENSRNOG00000000252,0,0,0,0,0,0
ENSRNOG00000000257,58,90,27,209,346,296
ENSRNOG00000000258,230,233,213,446,388,355
ENSRNOG00000000262,53,45,24,112,121,59
ENSRNOG00000000264,782,757,631,1747,2025,1533
ENSRNOG00000000274,1,3,1,1,2,0
ENSRNOG00000000275,5,4,4,13,13,5
ENSRNOG00000000277,0,0,1,6,1,6
ENSRNOG00000000279,217,144,115,510,369,306
ENSRNOG00000000281,377,242,399,3097,4492,2968
ENSRNOG00000000282,0,0,0,0,0,0
ENSRNOG00000000283,77,54,60,233,190,140
