accession	name	sex	dose	files	group
SRR5890399	male_0_bc1	male	0	bc01	male_0
SRR5890400	male_0_bc2	male	0	bc02	male_0
SRR5890397	male_0_bc3	male	0	bc03	male_0
SRR5890398	male_0_bc4	male	0	bc04	male_0
SRR5890403	male_0_bc5	male	0	bc05	male_0
SRR5890404	male_0_bc6	male	0	bc06	male_0
SRR5890401	male_0_bc7	male	0	bc07	male_0
SRR5890402	male_0_bc8	male	0	bc08	male_0
SRR5890436	male_0_bc9	male	0	bc09	male_0
SRR5890367	male_0_bc10	male	0	bc10	male_0
SRR5890409	male_2_bc11	male	2	bc11	male_2
SRR5890410	male_2_bc12	male	2	bc12	male_2
SRR5890407	male_2_bc13	male	2	bc13	male_2
SRR5890408	male_2_bc14	male	2	bc14	male_2
SRR5890413	male_2_bc15	male	2	bc15	male_2
SRR5890414	male_2_bc16	male	2	bc16	male_2
SRR5890411	male_2_bc17	male	2	bc17	male_2
SRR5890412	male_2_bc18	male	2	bc18	male_2
SRR5890417	male_2_bc19	male	2	bc19	male_2
SRR5890418	male_2_bc20	male	2	bc20	male_2
SRR5890376	male_1000_bc21	male	1000	bc21	male_1000
SRR5890375	male_1000_bc22	male	1000	bc22	male_1000
SRR5890374	male_1000_bc23	male	1000	bc23	male_1000
SRR5890373	male_1000_bc24	male	1000	bc24	male_1000
SRR5890380	male_1000_bc25	male	1000	bc25	male_1000
SRR5890379	male_1000_bc26	male	1000	bc26	male_1000
SRR5890378	male_1000_bc27	male	1000	bc27	male_1000
SRR5890377	male_1000_bc28	male	1000	bc28	male_1000
SRR5890369	male_1000_bc29	male	1000	bc29	male_1000
SRR5890368	male_1000_bc30	male	1000	bc30	male_1000
SRR5890439	male_5000_bc31	male	5000	bc31	male_5000
SRR5890361	male_5000_bc32	male	5000	bc32	male_5000
SRR5890364	male_5000_bc33	male	5000	bc33	male_5000
SRR5890365	male_5000_bc34	male	5000	bc34	male_5000
SRR5890427	male_5000_bc35	male	5000	bc35	male_5000
SRR5890433	male_5000_bc36	male	5000	bc36	male_5000
SRR5890435	male_5000_bc37	male	5000	bc37	male_5000
SRR5890438	male_5000_bc38	male	5000	bc38	male_5000
SRR5890419	male_5000_bc39	male	5000	bc39	male_5000
SRR5890420	male_5000_bc40	male	5000	bc40	male_5000
SRR5890392	female_0_bc41	female	0	bc41	female_0
SRR5890389	female_0_bc42	female	0	bc42	female_0
SRR5890396	female_0_bc43	female	0	bc43	female_0
SRR5890393	female_0_bc44	female	0	bc44	female_0
SRR5890429	female_0_bc45	female	0	bc45	female_0
SRR5890370	female_0_bc46	female	0	bc46	female_0
SRR5890387	female_0_bc47	female	0	bc47	female_0
SRR5890381	female_0_bc48	female	0	bc48	female_0
SRR5890371	female_0_bc49	female	0	bc49	female_0
SRR5890391	female_0_bc50	female	0	bc50	female_0
SRR5890421	female_2_bc51	female	2	bc51	female_2
SRR5890422	female_2_bc52	female	2	bc52	female_2
SRR5890383	female_2_bc53	female	2	bc53	female_2
SRR5890423	female_2_bc54	female	2	bc54	female_2
SRR5890363	female_2_bc55	female	2	bc55	female_2
SRR5890385	female_2_bc56	female	2	bc56	female_2
SRR5890415	female_2_bc57	female	2	bc57	female_2
SRR5890416	female_2_bc58	female	2	bc58	female_2
SRR5890395	female_2_bc59	female	2	bc59	female_2
SRR5890434	female_2_bc60	female	2	bc60	female_2
SRR5890388	female_1000_bc61	female	1000	bc61	female_1000
SRR5890431	female_1000_bc62	female	1000	bc62	female_1000
SRR5890386	female_1000_bc63	female	1000	bc63	female_1000
SRR5890440	female_1000_bc64	female	1000	bc64	female_1000
SRR5890384	female_1000_bc65	female	1000	bc65	female_1000
SRR5890405	female_1000_bc66	female	1000	bc66	female_1000
SRR5890382	female_1000_bc67	female	1000	bc67	female_1000
SRR5890362	female_1000_bc68	female	1000	bc68	female_1000
SRR5890394	female_1000_bc69	female	1000	bc69	female_1000
SRR5890390	female_1000_bc70	female	1000	bc70	female_1000
SRR5890372	female_5000_bc71	female	5000	bc71	female_5000
SRR5890424	female_5000_bc72	female	5000	bc72	female_5000
SRR5890425	female_5000_bc73	female	5000	bc73	female_5000
SRR5890426	female_5000_bc74	female	5000	bc74	female_5000
SRR5890366	female_5000_bc75	female	5000	bc75	female_5000
SRR5890428	female_5000_bc76	female	5000	bc76	female_5000
SRR5890406	female_5000_bc77	female	5000	bc77	female_5000
SRR5890430	female_5000_bc78	female	5000	bc78	female_5000
SRR5890437	female_5000_bc79	female	5000	bc79	female_5000
SRR5890432	female_5000_bc80	female	5000	bc80	female_5000
